m,TagName,
"2010-12-01 00:00:00","java","5668"
"2010-12-01 00:00:00","javascript","4956"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5376"
"2010-12-01 00:00:00","python","2478"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","134"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7979"
"2011-01-01 00:00:00","c++","3484"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6529"
"2011-01-01 00:00:00","javascript","5417"
"2011-01-01 00:00:00","perl","477"
"2011-01-01 00:00:00","php","6405"
"2011-01-01 00:00:00","python","2895"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","146"
"2011-02-01 00:00:00","c","1633"
"2011-02-01 00:00:00","c#","8212"
"2011-02-01 00:00:00","c++","3437"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6862"
"2011-02-01 00:00:00","javascript","5588"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6692"
"2011-02-01 00:00:00","python","3009"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","192"
"2011-03-01 00:00:00","c","2109"
"2011-03-01 00:00:00","c#","9985"
"2011-03-01 00:00:00","c++","4175"
"2011-03-01 00:00:00","delphi","518"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8462"
"2011-03-01 00:00:00","javascript","6764"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8082"
"2011-03-01 00:00:00","python","3746"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1638"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2034"
"2011-04-01 00:00:00","c#","9274"
"2011-04-01 00:00:00","c++","4162"
"2011-04-01 00:00:00","delphi","401"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7893"
"2011-04-01 00:00:00","javascript","6880"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7637"
"2011-04-01 00:00:00","python","3335"
"2011-04-01 00:00:00","r","476"
"2011-04-01 00:00:00","ruby","1476"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1822"
"2011-05-01 00:00:00","c#","10006"
"2011-05-01 00:00:00","c++","3879"
"2011-05-01 00:00:00","delphi","473"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8561"
"2011-05-01 00:00:00","javascript","7316"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8085"
"2011-05-01 00:00:00","python","3515"
"2011-05-01 00:00:00","r","426"
"2011-05-01 00:00:00","ruby","1565"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1762"
"2011-06-01 00:00:00","c#","9752"
"2011-06-01 00:00:00","c++","3807"
"2011-06-01 00:00:00","delphi","455"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7898"
"2011-06-01 00:00:00","javascript","7677"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","8026"
"2011-06-01 00:00:00","python","3466"
"2011-06-01 00:00:00","r","444"
"2011-06-01 00:00:00","ruby","1558"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","141"
"2011-07-01 00:00:00","c","1657"
"2011-07-01 00:00:00","c#","9609"
"2011-07-01 00:00:00","c++","3849"
"2011-07-01 00:00:00","delphi","429"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8153"
"2011-07-01 00:00:00","javascript","8110"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8670"
"2011-07-01 00:00:00","python","3659"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1584"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1824"
"2011-08-01 00:00:00","c#","10063"
"2011-08-01 00:00:00","c++","3952"
"2011-08-01 00:00:00","delphi","423"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8686"
"2011-08-01 00:00:00","javascript","8905"
"2011-08-01 00:00:00","perl","611"
"2011-08-01 00:00:00","php","8916"
"2011-08-01 00:00:00","python","3822"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1858"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","155"
"2011-09-01 00:00:00","c","1914"
"2011-09-01 00:00:00","c#","9303"
"2011-09-01 00:00:00","c++","3943"
"2011-09-01 00:00:00","delphi","414"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8320"
"2011-09-01 00:00:00","javascript","8187"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","8063"
"2011-09-01 00:00:00","python","3513"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1545"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","c","2138"
"2011-10-01 00:00:00","c#","9221"
"2011-10-01 00:00:00","c++","4346"
"2011-10-01 00:00:00","delphi","464"
"2011-10-01 00:00:00","go","40"
"2011-10-01 00:00:00","java","8560"
"2011-10-01 00:00:00","javascript","8033"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","8064"
"2011-10-01 00:00:00","python","3620"
"2011-10-01 00:00:00","r","620"
"2011-10-01 00:00:00","ruby","1612"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2196"
"2011-11-01 00:00:00","c#","9908"
"2011-11-01 00:00:00","c++","4478"
"2011-11-01 00:00:00","delphi","507"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9643"
"2011-11-01 00:00:00","javascript","8687"
"2011-11-01 00:00:00","perl","606"
"2011-11-01 00:00:00","php","8681"
"2011-11-01 00:00:00","python","3877"
"2011-11-01 00:00:00","r","606"
"2011-11-01 00:00:00","ruby","1740"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","228"
"2011-12-01 00:00:00","c","2003"
"2011-12-01 00:00:00","c#","9318"
"2011-12-01 00:00:00","c++","4358"
"2011-12-01 00:00:00","delphi","573"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9207"
"2011-12-01 00:00:00","javascript","8337"
"2011-12-01 00:00:00","perl","538"
"2011-12-01 00:00:00","php","8339"
"2011-12-01 00:00:00","python","3620"
"2011-12-01 00:00:00","r","614"
"2011-12-01 00:00:00","ruby","1683"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2233"
"2012-01-01 00:00:00","c#","10446"
"2012-01-01 00:00:00","c++","4547"
"2012-01-01 00:00:00","delphi","513"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10138"
"2012-01-01 00:00:00","javascript","9605"
"2012-01-01 00:00:00","perl","563"
"2012-01-01 00:00:00","php","9305"
"2012-01-01 00:00:00","python","4210"
"2012-01-01 00:00:00","r","690"
"2012-01-01 00:00:00","ruby","1903"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","232"
"2012-02-01 00:00:00","c","2406"
"2012-02-01 00:00:00","c#","10757"
"2012-02-01 00:00:00","c++","5105"
"2012-02-01 00:00:00","delphi","472"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10948"
"2012-02-01 00:00:00","javascript","9997"
"2012-02-01 00:00:00","perl","613"
"2012-02-01 00:00:00","php","9922"
"2012-02-01 00:00:00","python","4493"
"2012-02-01 00:00:00","r","813"
"2012-02-01 00:00:00","ruby","2041"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","262"
"2012-03-01 00:00:00","c","2726"
"2012-03-01 00:00:00","c#","11594"
"2012-03-01 00:00:00","c++","5231"
"2012-03-01 00:00:00","delphi","497"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12390"
"2012-03-01 00:00:00","javascript","10711"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10882"
"2012-03-01 00:00:00","python","5029"
"2012-03-01 00:00:00","r","888"
"2012-03-01 00:00:00","ruby","2191"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","277"
"2012-04-01 00:00:00","c","2666"
"2012-04-01 00:00:00","c#","11124"
"2012-04-01 00:00:00","c++","5299"
"2012-04-01 00:00:00","delphi","482"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","12018"
"2012-04-01 00:00:00","javascript","10672"
"2012-04-01 00:00:00","perl","598"
"2012-04-01 00:00:00","php","10394"
"2012-04-01 00:00:00","python","4917"
"2012-04-01 00:00:00","r","840"
"2012-04-01 00:00:00","ruby","1967"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","227"
"2012-05-01 00:00:00","c","2483"
"2012-05-01 00:00:00","c#","11575"
"2012-05-01 00:00:00","c++","4991"
"2012-05-01 00:00:00","delphi","480"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12175"
"2012-05-01 00:00:00","javascript","11521"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10922"
"2012-05-01 00:00:00","python","5092"
"2012-05-01 00:00:00","r","874"
"2012-05-01 00:00:00","ruby","1976"
"2012-05-01 00:00:00","swift","6"
"2012-06-01 00:00:00","assembly","201"
"2012-06-01 00:00:00","c","2311"
"2012-06-01 00:00:00","c#","11320"
"2012-06-01 00:00:00","c++","4649"
"2012-06-01 00:00:00","delphi","417"
"2012-06-01 00:00:00","go","72"
"2012-06-01 00:00:00","java","11098"
"2012-06-01 00:00:00","javascript","11225"
"2012-06-01 00:00:00","perl","740"
"2012-06-01 00:00:00","php","10562"
"2012-06-01 00:00:00","python","5271"
"2012-06-01 00:00:00","r","973"
"2012-06-01 00:00:00","ruby","1887"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","201"
"2012-07-01 00:00:00","c","2370"
"2012-07-01 00:00:00","c#","12313"
"2012-07-01 00:00:00","c++","5273"
"2012-07-01 00:00:00","delphi","439"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12243"
"2012-07-01 00:00:00","javascript","12315"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11715"
"2012-07-01 00:00:00","python","5721"
"2012-07-01 00:00:00","r","1118"
"2012-07-01 00:00:00","ruby","2058"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2315"
"2012-08-01 00:00:00","c#","11935"
"2012-08-01 00:00:00","c++","5157"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12245"
"2012-08-01 00:00:00","javascript","12434"
"2012-08-01 00:00:00","perl","762"
"2012-08-01 00:00:00","php","11874"
"2012-08-01 00:00:00","python","5860"
"2012-08-01 00:00:00","r","1089"
"2012-08-01 00:00:00","ruby","2060"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","224"
"2012-09-01 00:00:00","c","2528"
"2012-09-01 00:00:00","c#","11262"
"2012-09-01 00:00:00","c++","4907"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","130"
"2012-09-01 00:00:00","java","11613"
"2012-09-01 00:00:00","javascript","11165"
"2012-09-01 00:00:00","perl","662"
"2012-09-01 00:00:00","php","10972"
"2012-09-01 00:00:00","python","5248"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1955"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3150"
"2012-10-01 00:00:00","c#","12710"
"2012-10-01 00:00:00","c++","5907"
"2012-10-01 00:00:00","delphi","478"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13474"
"2012-10-01 00:00:00","javascript","12418"
"2012-10-01 00:00:00","perl","683"
"2012-10-01 00:00:00","php","11755"
"2012-10-01 00:00:00","python","6128"
